area	company	pay
용산구	서울디지털대학교	7000
서대문구	서울디지털대학교	7000
강서구	서울디지털대학교	7000
은평구	서울디지털대학교	7000
강동구	맥도날드 서울둔촌DT점	7400
구로구	주식회사 드림익스프레스(한진택배)	7000
동대문구	작은고양이샤똥	10000
서대문구	달려라 봉쥬비어	7000
송파구	GS리테일/GS수퍼마켓	6050
관악구	Healing	20000
강남구	원스탭서비스㈜	6500
송파구	㈜이지메디컴 서울아산병원	6030
강동구	엉터리생고기 고덕점	7000
종로구	㈜쎄이탑항공	6100
중구	깐부치킨순화동라마다점	6800
강동구	GS리테일/GS수퍼마켓	6150
중구	주식회사 맨파워코리아	7300
광진구	카츠미	7000
마포구	홈앤쇼핑[상암,디지털미디어시티]	8500
강서구	pc방알바구함	6200
강남구	신세계푸드 자니로켓	7380
서초구	반디앤루니스-센트럴점	6500
송파구	꼰에야	6030
용산구	김종용 누룽지통닭 한남점	7000
영등포구	GS리테일/GS수퍼마켓	6150
송파구	뉴욕버거 송파구 이마트 가든파이브점	6030
동작구	메가박스 이수지점	7236
용산구	블루브릿지	7500
서초구	더벤티(논현역점)	7300
강남구	압구정큐브	6700
마포구	홍대 무한삼겹 (홍대직영점)	7500
송파구	SDS잠실	7590
강남구	몬쉘코리아(각지점 가로수길,백화점내매장)	7800
송파구	㈜매니저맨코리아	7500
영등포구	알엠비엔터테인먼트	6030
구로구	스투피드(www.stupid.co.kr)	7000
금천구	성도컴퍼니	7200
관악구	㈜H&T	6500
구로구	Nine9Bar	25000
관악구	T/M/B	30000
강서구	굿윌아이엔씨㈜	10500
강남구	㈜다온(H&R)	8000
금천구	CJ대한통운	7000
구로구	여의궁	22000
서초구	메가박스 강남점	7236
양천구	여의궁	22000
관악구	여의궁	22000
양천구	GS리테일/GS수퍼마켓	6150
송파구	커브스 문정클럽	6030
마포구	스시 키노이	7500
성북구	412 BAR (사일이)	12000
관악구	소담마루 레스토랑	7236
성동구	하나카드	7000
양천구	pga전문가집단학원	10000
강남구	JBL스토어	7200
성북구	JBL스토어	7200
강남구	JBL스토어	7200
중구	㈜호텔명동	8500
강남구	H.C.G FOOD (캐주얼 일식 ,중식 ,수제버거)	7000
영등포구	㈜티시스	9000
마포구	㈜홈앤쇼핑	8500
구로구	여의궁	22000
