num_partics,rating,title,weekday
24495,9.95,신의 탑,mon
19851,9.96,대학일기,mon
20813,9.88,뷰티풀 군바리,mon
23156,9.95,윈드브레이커,mon
33155,9.96,소녀의 세계,mon
20345,9.97,마이너스의 손,mon
60823,9.98,여중생A,mon
14950,9.97,이상하고 아름..,mon
10411,9.97,썸남,mon
5988,9.93,MZ,mon
15208,9.99,윈터우즈,mon
17746,9.97,평범한 8반,mon
5768,9.94,부부생활,mon
7632,9.91,하루 3컷,mon
6022,9.98,가우스전자 시..,mon
6126,9.94,203호 저승..,mon
4057,9.9,첩보의 별,mon
3872,9.97,탈(TAL),mon
9812,9.98,생활의참견,mon
2514,9.92,팀피닉스,mon
6541,9.86,동토의 여명,mon
2569,9.88,3P,mon
3574,9.94,크리퍼스큘,mon
2929,9.95,히어로메이커,mon
19232,9.71,귀도,tue
28050,9.91,마음의소리,tue
21966,9.81,노블레스,tue
22228,9.97,하이브3,tue
30795,9.91,투명한 동거,tue
17619,9.96,체크포인트,tue
21788,9.98,제로게임,tue
22658,9.98,오!주예수여,tue
27357,9.98,슈퍼 시크릿,tue
9752,9.95,메달 브레이커,tue
17130,9.93,차원이 다른 ..,tue
8624,9.94,놓지마 정신줄..,tue
7750,9.91,모태솔로수용소..,tue
14163,9.84,윌유메리미,tue
7639,9.91,하루 3컷,tue
6026,9.98,가우스전자 시..,tue
4108,9.96,신의 언어,tue
14223,9.79,신도림,tue
6500,8.99,덴마,tue
5662,9.98,죽은 마법사의..,tue
3578,9.75,에이머,tue
6723,9.95,미라클! 용사님,tue
6712,9.98,패밀리 사이즈,tue
1125,9.3,한국만화거장전..,tue
1136,9.84,기로,tue
927,9.85,러브슬립 2부,tue
44461,9.95,복학왕,wed
36997,9.94,연놈,wed
31870,9.52,2016 비명,wed
29396,9.96,고수,wed
14219,9.96,유미의 세포들,wed
17646,9.62,블랙수트,wed
20519,6.68,웃지 않는 개..,wed
16208,9.96,지금 이 순간..,wed
10037,9.98,사이드킥2,wed
8551,9.97,조선왕조실톡,wed
36014,8.29,돌아온 럭키짱,wed
7643,9.91,하루 3컷,wed
8655,9.97,아일랜드 1부,wed
14623,9.97,이런 영웅은 ..,wed
6029,9.98,가우스전자 시..,wed
12273,9.94,언덕 위의 제..,wed
14163,9.96,당신만 몰라!,wed
9983,9.98,녹두전,wed
18083,9.95,나는 귀머거리다,wed
7430,9.92,대작,wed
2361,9.69,만렙소녀 오오라,wed
8274,9.84,하나(HANA),wed
7040,9.96,Penguin..,wed
3554,9.94,가우스 임파서..,wed
1727,9.92,굿모닝 보스,wed
4414,9.89,아이소포스 3부,wed
48428,9.95,연애혁명,thu
19874,9.96,대학일기,thu
21854,9.95,기기괴괴,thu
22838,9.78,문유,thu
36387,9.98,치즈인더트랩 ..,thu
8706,9.82,최강전설 강해효,thu
12955,9.98,가담항설,thu
8075,9.94,이말년 서유기,thu
9719,9.97,서북의 저승사자,thu
11077,9.97,전자오락수호대,thu
12289,9.98,참치와 돌고래,thu
7648,9.91,하루 3컷,thu
8265,9.73,찌질의 역사,thu
8655,9.97,아일랜드 1부,thu
6031,9.98,가우스전자 시..,thu
4519,9.93,마술사,thu
4392,9.87,에피소드칵테일,thu
4668,9.97,파도의 주인,thu
14995,5.8,동네변호사 조..,thu
3347,9.9,백귀야행지,thu
6558,8.99,킬더킹,thu
5583,9.97,매지컬 고삼즈,thu
2126,9.9,오렌지 모멘트,thu
3951,9.21,특수 영능력 ..,thu
5736,9.95,천국의 신화 ..,thu
2111,9.93,우바우,thu
1929,9.8,칼부림,thu
76387,9.93,외모지상주의,fri
21591,9.71,갓 오브 하이..,fri
7109,9.67,악의는 없다,fri
12165,9.97,밥 먹고 갈래..,fri
17964,9.97,결계녀,fri
7092,9.96,공대생 너무만화,fri
14581,6.98,더 게이머,fri
15709,9.8,아테나 컴플렉스,fri
9936,9.96,테러맨,fri
19795,9.81,낮에 뜨는 달,fri
16480,9.97,천년구미호,fri
7658,9.91,하루 3컷,fri
8655,9.97,아일랜드 1부,fri
6036,9.98,가우스전자 시..,fri
6503,8.99,덴마,fri
8587,9.98,오즈랜드,fri
3979,9.73,조선좀비실록,fri
7518,9.98,레코닝,fri
3364,9.89,킬러 김빵빵,fri
7040,9.96,Penguin..,fri
2996,9.96,몽홀,fri
4857,9.87,이별만화 완성도,fri
6558,2.25,REBORN,fri
2123,9.95,원티드,fri
2293,9.92,시노딕,fri
5332,9.92,진눈깨비 소년,fri
34582,9.96,프리드로우,sat
49241,9.67,내 ID는 강..,sat
31876,9.52,2016 비명,sat
25901,9.96,금수저,sat
32772,9.95,공복의 저녁식사,sat
22576,9.98,부활남,sat
31793,9.91,나노리스트,sat
14221,9.96,유미의 세포들,sat
17730,9.92,호랑이형님,sat
25990,9.97,귀각시,sat
13171,9.86,대가리,sat
19467,9.97,언터처블,sat
4555,9.8,야부리맨,sat
8628,9.94,놓지마 정신줄..,sat
14165,9.84,윌유메리미,sat
7660,9.91,하루 3컷,sat
11034,9.98,은주의 방 2,sat
4062,9.9,첩보의 별,sat
18084,9.95,나는 귀머거리다,sat
8005,9.97,갸오오와 사랑..,sat
9835,9.98,생활의참견,sat
7556,9.98,숲 속의 미마,sat
3874,9.94,나이트런,sat
2068,9.82,네버랜 연대기,sat
1983,9.77,밥풀때기,sat
14872,9.91,트럼프,sat
43457,9.96,스피릿 핑거스,sun
23911,9.66,소녀더와일즈,sun
14438,9.9,컨트롤제트,sun
17564,8.97,다이스(DIC..,sun
9071,9.97,열렙전사,sun
25002,9.98,달수 이야기,sun
12792,9.97,연애의 정령,sun
8552,9.97,조선왕조실톡,sun
7664,9.91,하루 3컷,sun
5502,9.96,귀도호가록,sun
6505,8.99,덴마,sun
11870,8.24,우리들은 푸르다,sun
3272,9.96,마법스크롤상인..,sun
5829,9.98,심심한 마왕,sun
2361,9.69,만렙소녀 오오라,sun
39783,9.82,구구까까,sun
4049,9.82,호랭총각,sun
4630,9.98,원 뿔러스 원,sun
6717,9.98,패밀리 사이즈,sun
2675,9.84,바로잡는 순애보,sun
2112,9.93,우바우,sun
3707,9.96,인챈트-나람이..,sun
